time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451300000	9.84646	20.9195	4.72184	3.32574	0.549743	lidar	1.54076	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63035	20.9	4.60116	3.33869	0.52853	radar	2.18727	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.4439	20.8484	4.52484	3.36929	0.533433	lidar	0.596078	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.23357	20.8025	4.51591	3.39468	0.533408	radar	1.37917	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.91813	20.775	4.7044	3.40138	0.512567	lidar	3.14862	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71174	20.6949	4.6734	3.43529	0.521147	radar	4.20567	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41689	20.6147	4.81621	3.45668	0.5148	lidar	3.11549	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19012	20.5351	4.82138	3.48375	0.516582	radar	0.038362	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94066	20.4554	4.86572	3.50528	0.512041	lidar	0.190339	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7237	20.3712	4.89167	3.53315	0.517885	radar	3.30455	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.39626	20.3116	5.07397	3.5323	0.491035	lidar	3.47593	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.1643	20.2162	5.03813	3.55379	0.485789	radar	0.332087	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.89459	20.1312	5.10635	3.56587	0.473811	lidar	0.598154	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67366	20.0395	5.04182	3.58391	0.466213	radar	0.719305	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.42522	19.9463	5.07473	3.5982	0.457662	lidar	0.345791	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.21383	19.8527	5.02553	3.61666	0.453479	radar	3.04594	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94692	19.7574	5.09649	3.62472	0.439361	lidar	0.807035	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.70592	19.6162	5.19245	3.65289	0.448241	radar	1.501	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
